Location_Name,Latitude,Longitude,Type,Google_Maps
Bocanáriz,-33.4384002000000,-70.641319300000,Wine bar,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Chipe Libre,-33.4383183000000,-70.641329100000,Restaurant,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Ambrosía,-33.3783715000000,-70.529824300000,Restaurant,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Ambrosia Bistro,-33.4209467000000,-70.610463900000,Restaurant,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Pizzería Tiramisú,-33.4145559000000,-70.597698700000,Restaurant,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
La Cabrera Chile Isidora,-33.4146900000000,-70.596629700000,Restaurant,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Casa Altamira,-33.0439491000000,-71.626167200000,Brewery,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Santa Pizza Santo Domingo,-33.6651520000000,-71.638644900000,Pizza,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Winery Casas del Bosque,-33.3174912000000,-71.434988900000,Vinyard,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Viña Undurraga,-33.6460795000000,-70.885914000000,Vinyard,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Winery Casas del Bosque,-33.3174912000000,-71.434988900000,Vinyard,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Centre Gabriela Mistral,-33.4394434000000,-70.639800100000,Arts,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Nailsbar,-33.4322656999999,-70.601901800000,Nails,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Parque Tricao,-33.7049855,-71.6316654,Nature,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Pomaire,-33.6498691,-71.1513932,Shopping,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Los Dominicos Craft Centre,-33.4084006,-70.5417441,Shopping,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Cerro Alegre,-33.0430789,-71.6280588,Arts,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Reñaca beach,-32.9696809,-71.5456448,Beach,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
Canelillo,-33.3674319,-71.6884517,Beach,"<a href =""https://goo.gl/maps/oKCkZGYJWc6B27WC6"">Google Maps</a>"
